time, combination
5856.000000, 0 0 0 0 
3775.000000, 0 0 0 1 
3786.000000, 0 0 0 2 
5758.000000, 0 0 1 0 
5625.000000, 0 0 1 1 
5648.000000, 0 0 1 2 
5549.000000, 0 0 2 0 
5641.000000, 0 0 2 1 
5576.000000, 0 0 2 2 
3801.000000, 0 1 0 0 
3765.000000, 0 1 0 1 
3795.000000, 0 1 0 2 
5617.000000, 0 1 1 0 
5697.000000, 0 1 1 1 
5584.000000, 0 1 1 2 
5565.000000, 0 1 2 0 
5602.000000, 0 1 2 1 
5581.000000, 0 1 2 2 
3745.000000, 0 2 0 0 
3786.000000, 0 2 0 1 
3791.000000, 0 2 0 2 
5585.000000, 0 2 1 0 
5668.000000, 0 2 1 1 
5558.000000, 0 2 1 2 
5486.000000, 0 2 2 0 
5623.000000, 0 2 2 1 
5604.000000, 0 2 2 2 
2893.000000, 1 0 0 0 
2863.000000, 1 0 0 1 
2854.000000, 1 0 0 2 
3784.000000, 1 0 1 0 
3808.000000, 1 0 1 1 
3895.000000, 1 0 1 2 
3794.000000, 1 0 2 0 
3828.000000, 1 0 2 1 
3918.000000, 1 0 2 2 
2881.000000, 1 1 0 0 
2892.000000, 1 1 0 1 
2879.000000, 1 1 0 2 
3821.000000, 1 1 1 0 
3859.000000, 1 1 1 1 
3864.000000, 1 1 1 2 
3931.000000, 1 1 2 0 
3842.000000, 1 1 2 1 
3912.000000, 1 1 2 2 
2893.000000, 1 2 0 0 
2870.000000, 1 2 0 1 
2853.000000, 1 2 0 2 
3751.000000, 1 2 1 0 
3823.000000, 1 2 1 1 
3881.000000, 1 2 1 2 
3763.000000, 1 2 2 0 
3789.000000, 1 2 2 1 
3834.000000, 1 2 2 2 
3735.000000, 2 0 0 0 
3771.000000, 2 0 0 1 
3740.000000, 2 0 0 2 
5523.000000, 2 0 1 0 
5580.000000, 2 0 1 1 
5528.000000, 2 0 1 2 
5410.000000, 2 0 2 0 
5484.000000, 2 0 2 1 
5500.000000, 2 0 2 2 
3762.000000, 2 1 0 0 
3735.000000, 2 1 0 1 
3756.000000, 2 1 0 2 
5481.000000, 2 1 1 0 
5533.000000, 2 1 1 1 
5523.000000, 2 1 1 2 
5490.000000, 2 1 2 0 
5626.000000, 2 1 2 1 
5601.000000, 2 1 2 2 
3742.000000, 2 2 0 0 
3756.000000, 2 2 0 1 
3713.000000, 2 2 0 2 
5464.000000, 2 2 1 0 
5596.000000, 2 2 1 1 
5418.000000, 2 2 1 2 
5522.000000, 2 2 2 0 
5502.000000, 2 2 2 1 
5460.000000, 2 2 2 2 
